Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEX,Value
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,37.46
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,25.85
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,35.68
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,25.98
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,36.86
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,43.57
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,56.86
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,33.04
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,43.25
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,25.98
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,35.23
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,24.62
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,35.73
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,23.70
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,34.64
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.30
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.05
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.20
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.32
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.30
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.98
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.50
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.91
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.50
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.69
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,3.60
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEX._T,2.57
