Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,DIM_DES.SEX,Value
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,55.05
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,64.30
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,47.94
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,65.16
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,56.01
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,65.60
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,59.78
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,67.65
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,51.85
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,69.68
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,50.92
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,74.33
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,77.53
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,75.04
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,65.25
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,74.76
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,58.19
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,74.37
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,62.03
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,74.86
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,59.85
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,75.36
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,68.53
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,76.09
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,63.78
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,77.74
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,68.44
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,79.48
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,68.82
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,81.48
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,77.66
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,81.90
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,81.85
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,81.60
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,80.83
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,82.47
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,79.71
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,84.84
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_040102_2B,AGE.Y20T22,SEX.F,76.96
