Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,17.13
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,15.09
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,20.88
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,28.30
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,20.63
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,24.56
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,20.29
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,32.88
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,23.37
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,20.08
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,22.00
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,21.10
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,20.28
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,11.80
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,47.01
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,55.56
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,47.62
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,47.83
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,49.07
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,52.54
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,47.43
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,54.39
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,54.85
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,52.08
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,56.57
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,55.10
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,60.12
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,56.60
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,55.34
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,53.70
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,50.02
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,57.41
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,59.35
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,63.93
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,57.63
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,52.49
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,59.28
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,51.88
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIES._L_ES_160602_1E,COMPOSITE_BREAKDOWN._L_SERVICE_05,59.87
