Year,Units,general.territorio,Serie,general.series,DIM_DES.ACTIVITY,DIM_DES.COMPOSITE_BREAKDOWN,Value
2015,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.70
2016,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.22
2016,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.44
2017,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.23
2017,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.52
2018,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.24
2018,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.54
2019,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.27
2019,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.70
2020,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.27
2020,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.65
2021,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.25
2021,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.59
2022,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.23
2022,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.55
2023,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.21
2023,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.42
2010,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2010,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2011,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2011,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2012,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2012,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.16
2013,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.10
2013,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2014,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.09
2014,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.09
2015,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2015,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2016,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2016,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2017,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2017,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.12
2018,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2018,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.12
2019,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.12
2019,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.18
2020,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
2020,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.17
2021,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2021,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.15
2022,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.10
2022,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.14
2023,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.11
2023,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_F,SERIES._L_ES_090401_03,,,0.13
